identifier,num_data_bytes,data,remote_frame
0x17,0x8,0x17 0x56 0xEA 0xAC 0xC8 0x19 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x57 0x58 0xAE 0x28 0x23 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x57 0xC6 0xAD 0xA8 0x20 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x58 0x34 0xAE 0x78 0x24 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x58 0xA3 0xAB 0x18 0x1D 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x59 0x12 0xAC 0x78 0x25 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x59 0x82 0xAD 0xC8 0x20 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x59 0xF2 0xAC 0xE8 0x24 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x5A 0x62 0xAD 0xE8 0x20 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x5A 0xD3 0xAD 0x28 0x27 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x5B 0x44 0xAC 0x48 0x1C 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x5B 0xB6 0xAD 0x58 0x2B 0x42 0x00,
0x17,0x8,0x7F 0xFF 0x87 0xF0 0x00 0x3D 0x68 0x4A,
0x17,0x8,0x17 0x5C 0x28 0xAE 0xA8 0x1E 0x42 0x00,
0x17,0x8,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFD,
0x17,0x8,0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFD,
0x17,,,
0x17,0x8,0x17 0x5C 0x49 0xAC 0xF8 0x1D 0x42 0x00,
0x17,0x8,0x17 0x5C 0x4A 0xAE 0xE8 0x1D 0x42 0x00,
